# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
| 309|       3|      0|    0.67|  1.00|                 2|              3|              2|               0|      3|             3|         1.00|

=================================================================================================================================================
Number of sentence:	310.00
Number of Error sentence:	39.00
Number of Skip  sentence:	0.00
Number of Valid sentence:	271.00
Bracketing Recall:	63.15
Bracketing Precision:	61.27
Bracketing FMeasure:	62.20
Complete match:	12.55
Average crossing:	3.06
No crossing:	45.76
Tagging accuracy:	93.37
